"Symbol","Name","EntrezGene.ID","Ensembl.Gene.ID","MGI.ID","Gene.group.name"
"ABCD4","ATP binding cassette subfamily D member 4",5826,"ENSG00000119688","MGI:1349217","ATP binding cassette subfamily D"
"ABCE1","ATP binding cassette subfamily E member 1",6059,"ENSG00000164163","MGI:1195458","ATP binding cassette subfamily E"
"ABCF1","ATP binding cassette subfamily F member 1",23,"ENSG00000204574","MGI:1351658","ATP binding cassette subfamily F|MicroRNA protein coding host genes"
"ABCF1-DT","ABCF1 divergent transcript",107986587,"","","Divergent transcripts"
"ABCF2","ATP binding cassette subfamily F member 2",10061,"ENSG00000033050","MGI:1351657","ATP binding cassette subfamily F"
"ABCF2-H2BE1","ABCF2-H2BE1 readthrough",114483834,"ENSG00000285292","",""
"ABCF2P1","ATP binding cassette subfamily F member 2 pseudogene 1",344653,"ENSG00000242159","",""
"ABCF2P2","ATP binding cassette subfamily F member 2 pseudogene 2",100422059,"ENSG00000228769","",""
"ABCF3","ATP binding cassette subfamily F member 3",55324,"ENSG00000161204","MGI:1351656","ATP binding cassette subfamily F"
"ABCG1","ATP binding cassette subfamily G member 1",9619,"ENSG00000160179","MGI:107704","ATP binding cassette subfamily G"
"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",9429,"ENSG00000118777","MGI:1347061","ATP binding cassette subfamily G|CD molecules|Blood group antigens"
"ABCG4","ATP binding cassette subfamily G member 4",64137,"ENSG00000172350","MGI:1890594","ATP binding cassette subfamily G"
"ABCG5","ATP binding cassette subfamily G member 5",64240,"ENSG00000138075","MGI:1351659","ATP binding cassette subfamily G"
"ABCG8","ATP binding cassette subfamily G member 8",64241,"ENSG00000143921","MGI:1914720","ATP binding cassette subfamily G"
"ABHD1","abhydrolase domain containing 1",84696,"ENSG00000143994","MGI:1931013","Abhydrolase domain containing"
"ABHD2","abhydrolase domain containing 2, acylglycerol lipase",11057,"ENSG00000140526","MGI:1914344","Abhydrolase domain containing"
"ABHD3","abhydrolase domain containing 3, phospholipase",171586,"ENSG00000158201","MGI:2147183","Abhydrolase domain containing"
"ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B",63874,"ENSG00000100439","MGI:1915938","Abhydrolase domain containing"
"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",51099,"ENSG00000011198","MGI:1914719","Abhydrolase domain containing"
"ABHD6","abhydrolase domain containing 6, acylglycerol lipase",57406,"ENSG00000163686","MGI:1913332","Abhydrolase domain containing"
"ABHD8","abhydrolase domain containing 8",79575,"ENSG00000127220","MGI:1918946","Abhydrolase domain containing"
"ABHD10","abhydrolase domain containing 10, depalmitoylase",55347,"ENSG00000144827","MGI:2442422","Abhydrolase domain containing"
"ABHD11","abhydrolase domain containing 11",83451,"ENSG00000106077","MGI:1916008","Abhydrolase domain containing"
"ABHD11-AS1","ABHD11 antisense RNA 1 (tail to tail)",171022,"ENSG00000225969","","Antisense RNAs"
"ABHD12","abhydrolase domain containing 12, lysophospholipase",26090,"ENSG00000100997","MGI:1923442","Abhydrolase domain containing"
"ABHD12B","abhydrolase domain containing 12B",145447,"ENSG00000131969","MGI:2685650","Abhydrolase domain containing"
"ABHD13","abhydrolase domain containing 13",84945,"ENSG00000139826","MGI:1916154","Abhydrolase domain containing"
"ABHD14A","abhydrolase domain containing 14A",25864,"ENSG00000248487","MGI:1915894","Abhydrolase domain containing"
"ABHD14A-ACY1","ABHD14A-ACY1 readthrough",100526760,"ENSG00000114786","",""
"ABHD14B","abhydrolase domain containing 14B",84836,"ENSG00000114779","MGI:1923741","Abhydrolase domain containing"
"ABHD15","abhydrolase domain containing 15",116236,"ENSG00000168792","MGI:1914727","Abhydrolase domain containing"
"ABHD15-AS1","ABHD15 antisense RNA 1",NA,"ENSG00000264031","","Antisense RNAs"
"ABHD16A","abhydrolase domain containing 16A, phospholipase",7920,"ENSG00000204427","MGI:99476","MicroRNA protein coding host genes|Abhydrolase domain containing"
"ABHD16B","abhydrolase domain containing 16B",140701,"ENSG00000183260","MGI:3607711","Abhydrolase domain containing"
"ABHD17A","abhydrolase domain containing 17A, depalmitoylase",81926,"ENSG00000129968","MGI:106388","Depalmitoylases|Abhydrolase domain containing"
"ABHD17AP1","ABHD17A pseudogene 1",728917,"ENSG00000198658","",""
"ABHD17AP3","ABHD17A pseudogene 3",648359,"ENSG00000250536","",""
"ABHD17AP4","ABHD17A pseudogene 4",729495,"ENSG00000229107","",""
"ABHD17AP5","ABHD17A pseudogene 5",91219,"ENSG00000263366","",""
"ABHD17AP6","ABHD17A pseudogene 6",644988,"ENSG00000226981","",""
"ABHD17AP7","ABHD17A pseudogene 7",100133212,"ENSG00000260864","",""
"ABHD17AP8","ABHD17A pseudogene 8",647144,"ENSG00000260540","",""
"ABHD17AP9","ABHD17A pseudogene 9",100132251,"ENSG00000261536","",""
"ABHD17B","abhydrolase domain containing 17B, depalmitoylase",51104,"ENSG00000107362","MGI:1917816","Abhydrolase domain containing|Depalmitoylases"
"ABHD17C","abhydrolase domain containing 17C, depalmitoylase",58489,"ENSG00000136379","MGI:1917428","Abhydrolase domain containing|Depalmitoylases"
"ABHD18","abhydrolase domain containing 18",80167,"ENSG00000164074","MGI:1915468","Abhydrolase domain containing"
"ABI1","abl interactor 1",10006,"ENSG00000136754","MGI:104913",""
"ABI1P1","abl interactor 1 pseudogene 1",326268,"ENSG00000271484","",""
"ABI2","abl interactor 2",10152,"ENSG00000138443","MGI:106913","SCAR/WAVE complex"
"ABI3","ABI family member 3",51225,"ENSG00000108798","MGI:1913860",""
"ABI3BP","ABI family member 3 binding protein",25890,"ENSG00000154175","MGI:2444583","Fibronectin type III domain containing"
"ABITRAM","actin binding transcription modulator",54942,"ENSG00000119328","MGI:2677850",""
"ABITRAMP1","ABITRAM pseudogene 1",390403,"ENSG00000251106","",""
"ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase",25,"ENSG00000097007","MGI:87859","SH2 domain containing|Abl family tyrosine kinases"
"ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase",27,"ENSG00000143322","MGI:87860","Abl family tyrosine kinases|SH2 domain containing"
"ABLIM1","actin binding LIM protein 1",3983,"ENSG00000099204","MGI:1194500","LIM domain containing"
"ABLIM2","actin binding LIM protein family member 2",84448,"ENSG00000163995","MGI:2385758","LIM domain containing|MicroRNA protein coding host genes"
"ABLIM3","actin binding LIM protein family member 3",22885,"ENSG00000173210","MGI:2442582","LIM domain containing"
"ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",28,"ENSG00000175164","MGI:2135738","Blood group antigens|Glycosyltransferase family 6"
"ABR","ABR activator of RhoGEF and GTPase",29,"ENSG00000159842","MGI:107771","Dbl family Rho GEFs|MicroRNA protein coding host genes|C2 domain containing|Pleckstrin homology domain containing"
"ABRA","actin binding Rho activating protein",137735,"ENSG00000174429","MGI:2444891",""
"ABRACL","ABRA C-terminal like",58527,"ENSG00000146386","MGI:1920362",""
"ABRAXAS1","abraxas 1, BRCA1 A complex subunit",84142,"ENSG00000163322","MGI:1917931","BRCA1 A complex"
"ABRAXAS2","abraxas 2, BRISC complex subunit",23172,"ENSG00000165660","MGI:1926116","BRISC complex"
"ABT1","activator of basal transcription 1",29777,"ENSG00000146109","MGI:1353636",""
"ABT1P1","activator of basal transcription 1 pseudogene 1",100420695,"ENSG00000250496","",""
"ABTB1","ankyrin repeat and BTB domain containing 1",80325,"ENSG00000114626","MGI:1933148","BTB domain containing|Ankyrin repeat domain containing"
"ABTB2","ankyrin repeat and BTB domain containing 2",25841,"ENSG00000166016","MGI:2139365","BTB domain containing|Ankyrin repeat domain containing"
"ACAA1","acetyl-CoA acyltransferase 1",30,"ENSG00000060971","MGI:2148491, MGI:3605455",""
"ACAA2","acetyl-CoA acyltransferase 2",10449,"ENSG00000167315","MGI:1098623",""
"ACACA","acetyl-CoA carboxylase alpha",31,"ENSG00000278540","MGI:108451",""
"ACACB","acetyl-CoA carboxylase beta",32,"ENSG00000076555","MGI:2140940",""
"ACAD8","acyl-CoA dehydrogenase family member 8",27034,"ENSG00000151498","MGI:1914198","Acyl-CoA dehydrogenase family"
"ACAD9","acyl-CoA dehydrogenase family member 9",28976,"ENSG00000177646","MGI:1914272","Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex"
"ACAD10","acyl-CoA dehydrogenase family member 10",80724,"ENSG00000111271","MGI:1919235","Acyl-CoA dehydrogenase family"
"ACAD11","acyl-CoA dehydrogenase family member 11",84129,"ENSG00000240303","MGI:2143169","Acyl-CoA dehydrogenase family"
"ACADL","acyl-CoA dehydrogenase long chain",33,"ENSG00000115361","MGI:87866","Acyl-CoA dehydrogenase family"
"ACADM","acyl-CoA dehydrogenase medium chain",34,"ENSG00000117054","MGI:87867","Acyl-CoA dehydrogenase family"
"ACADS","acyl-CoA dehydrogenase short chain",35,"ENSG00000122971","MGI:87868","Acyl-CoA dehydrogenase family"
"ACADSB","acyl-CoA dehydrogenase short/branched chain",36,"ENSG00000196177","MGI:1914135","Acyl-CoA dehydrogenase family"
"ACADVL","acyl-CoA dehydrogenase very long chain",37,"ENSG00000072778","MGI:895149","Acyl-CoA dehydrogenase family"
"ACAN","aggrecan",176,"ENSG00000157766","MGI:99602","Sushi domain containing|C-type lectin domain containing|V-set domain containing|Hyalectan proteoglycans"
"ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",9744,"ENSG00000072818","MGI:2388270","BAR-PH domain containing|ArfGAPs|Ankyrin repeat domain containing"
"ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",23527,"ENSG00000114331","MGI:1925868","BAR-PH domain containing|Ankyrin repeat domain containing|ArfGAPs"
"ACAP2-IT1","ACAP2 intronic transcript 1",NA,"ENSG00000229325","","Intronic transcripts"
"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983,"ENSG00000131584","MGI:2153589","Ankyrin repeat domain containing|BAR-PH domain containing|MicroRNA protein coding host genes|ArfGAPs"
"ACAT1","acetyl-CoA acetyltransferase 1",38,"ENSG00000075239","MGI:87870",""
"ACAT2","acetyl-CoA acetyltransferase 2",39,"ENSG00000120437","MGI:87871, MGI:109182",""
"ACBD3","acyl-CoA binding domain containing 3",64746,"ENSG00000182827","MGI:2181074","A-kinase anchoring proteins"
"ACBD3-AS1","ACBD3 antisense RNA 1",107985353,"ENSG00000234478","","Antisense RNAs"
"ACBD4","acyl-CoA binding domain containing 4",79777,"ENSG00000181513","MGI:1914381",""
"ACBD5","acyl-CoA binding domain containing 5",91452,"ENSG00000107897","MGI:1921409",""
"ACBD6","acyl-CoA binding domain containing 6",84320,"ENSG00000230124","MGI:1919732","MicroRNA protein coding host genes|Ankyrin repeat domain containing"
"ACBD7","acyl-CoA binding domain containing 7",414149,"ENSG00000176244","MGI:1925495",""
"ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)",84680,"ENSG00000110455","MGI:1919717",""
"ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like",390110,"ENSG00000205126","MGI:3584519",""
"ACD","ACD shelterin complex subunit and telomerase recruitment factor",65057,"ENSG00000102977","MGI:87873","Shelterin complex"
"ACE","angiotensin I converting enzyme",1636,"ENSG00000159640","MGI:87874","CD molecules"
"ACE2","angiotensin I converting enzyme 2",59272,"ENSG00000130234","MGI:1917258",""
"ACE3P","angiotensin I converting enzyme 3, pseudogene",100129123,"ENSG00000224353","MGI:3644400",""
"ACER1","alkaline ceramidase 1",125981,"ENSG00000167769","MGI:2181962","Alkaline ceramidases"
"ACER2","alkaline ceramidase 2",340485,"ENSG00000177076","MGI:1920932","Alkaline ceramidases"
"ACER2P1","ACER2 pseudogene 1",645978,"ENSG00000180105","",""
"ACER3","alkaline ceramidase 3",55331,"ENSG00000078124","MGI:1913440","Alkaline ceramidases"
"ACHE","acetylcholinesterase (Cartwright blood group)",43,"ENSG00000087085","MGI:87876","Blood group antigens"
"ACIN1","apoptotic chromatin condensation inducer 1",22985,"ENSG00000100813","MGI:1891824","ASAP complex"
"ACKR1","atypical chemokine receptor 1 (Duffy blood group)",2532,"ENSG00000213088","MGI:1097689","Blood group antigens|CD molecules|Atypical chemokine receptors"
"ACKR2","atypical chemokine receptor 2",1238,"ENSG00000144648","MGI:1891697","Atypical chemokine receptors"
"ACKR3","atypical chemokine receptor 3",57007,"ENSG00000144476","MGI:109562","Atypical chemokine receptors"
"ACKR4","atypical chemokine receptor 4",51554,"ENSG00000129048","MGI:2181676","Atypical chemokine receptors"
"ACKR4P1","ACKR4 pseudogene 1",285737,"ENSG00000225415","",""
"ACLY","ATP citrate lyase",47,"ENSG00000131473","MGI:103251",""
"ACMSD","aminocarboxymuconate semialdehyde decarboxylase",130013,"ENSG00000153086","MGI:2386323","MicroRNA protein coding host genes"
"ACNATP","acyl-CoA:amino acid N-acyltransferase pseudogene",347275,"ENSG00000227411","",""
"ACO1","aconitase 1",48,"ENSG00000122729","MGI:87879",""
"ACO2","aconitase 2",50,"ENSG00000100412","MGI:87880",""
"ACOD1","aconitate decarboxylase 1",730249,"ENSG00000102794","MGI:103206",""
"ACOT1","acyl-CoA thioesterase 1",641371,"ENSG00000184227","MGI:1349396","Acyl-CoA thioesterases"
"ACOT2","acyl-CoA thioesterase 2",10965,"ENSG00000119673","MGI:2159605","Acyl-CoA thioesterases"
"ACOT4","acyl-CoA thioesterase 4",122970,"ENSG00000177465","MGI:2159621","Acyl-CoA thioesterases"
"ACOT6","acyl-CoA thioesterase 6",641372,"ENSG00000205669","MGI:1921287","Acyl-CoA thioesterases"
"ACOT7","acyl-CoA thioesterase 7",11332,"ENSG00000097021","MGI:1917275","Acyl-CoA thioesterases"
"ACOT8","acyl-CoA thioesterase 8",10005,"ENSG00000101473","MGI:2158201","Acyl-CoA thioesterases"
"ACOT9","acyl-CoA thioesterase 9",23597,"ENSG00000123130","MGI:1928939","Acyl-CoA thioesterases"
"ACOT11","acyl-CoA thioesterase 11",26027,"ENSG00000162390","MGI:1913736","Acyl-CoA thioesterases|StAR related lipid transfer domain containing"
"ACOT12","acyl-CoA thioesterase 12",134526,"ENSG00000172497","MGI:1921406","Acyl-CoA thioesterases|StAR related lipid transfer domain containing"
"ACOT13","acyl-CoA thioesterase 13",55856,"ENSG00000112304","MGI:1914084","Acyl-CoA thioesterases"
"ACOX1","acyl-CoA oxidase 1",51,"ENSG00000161533","MGI:1330812",""
"ACOX2","acyl-CoA oxidase 2",8309,"ENSG00000168306","MGI:1934852",""
"ACOX3","acyl-CoA oxidase 3, pristanoyl",8310,"ENSG00000087008","MGI:1933156",""
"ACOXL","acyl-CoA oxidase like",55289,"ENSG00000153093","MGI:1921371",""
"ACOXL-AS1","ACOXL antisense RNA 1",400997,"ENSG00000204581","","Antisense RNAs"
"ACP1","acid phosphatase 1",52,"ENSG00000143727","MGI:87881","Acid phosphatases|Class II Cys-based phosphatases"
"ACP2","acid phosphatase 2, lysosomal",53,"ENSG00000134575","MGI:87882","Acid phosphatases"
"ACP3","acid phosphatase 3",55,"ENSG00000014257","MGI:1928480","Acid phosphatases"
"ACP4","acid phosphatase 4",93650,"ENSG00000142513","MGI:3644563","Acid phosphatases"
"ACP5","acid phosphatase 5, tartrate resistant",54,"ENSG00000102575","MGI:87883","Acid phosphatases"
"ACP6","acid phosphatase 6, lysophosphatidic",51205,"ENSG00000162836","MGI:1931010","Acid phosphatases"
"ACP7","acid phosphatase 7, tartrate resistant (putative)",390928,"ENSG00000183760","MGI:2142121","Acid phosphatases"
"ACR","acrosin",49,"ENSG00000100312","MGI:87884",""
"ACRBP","acrosin binding protein",84519,"ENSG00000111644","MGI:1859515","Armadillo-like helical domain containing"
"ACRP1","ACR pseudogene 1",645529,"ENSG00000175509","",""
"ACRV1","acrosomal vesicle protein 1",56,"ENSG00000134940","MGI:104590",""
"ACSBG1","acyl-CoA synthetase bubblegum family member 1",23205,"ENSG00000103740","MGI:2385656","Acyl-CoA synthetase family"
"ACSBG2","acyl-CoA synthetase bubblegum family member 2",81616,"ENSG00000130377","MGI:3587728","Acyl-CoA synthetase family"
"ACSF2","acyl-CoA synthetase family member 2",80221,"ENSG00000167107","MGI:2388287","Acyl-CoA synthetase family"
"ACSF3","acyl-CoA synthetase family member 3",197322,"ENSG00000176715","MGI:2182591","Acyl-CoA synthetase family"
"ACSL1","acyl-CoA synthetase long chain family member 1",2180,"ENSG00000151726","MGI:102797","Acyl-CoA synthetase family"
"ACSL3","acyl-CoA synthetase long chain family member 3",2181,"ENSG00000123983","MGI:1921455","Acyl-CoA synthetase family"
"ACSL3-AS1","ACSL3 antisense RNA 1",105373904,"ENSG00000234193","","Antisense RNAs"
"ACSL4","acyl-CoA synthetase long chain family member 4",2182,"ENSG00000068366","MGI:1354713","Acyl-CoA synthetase family"
"ACSL5","acyl-CoA synthetase long chain family member 5",51703,"ENSG00000197142","MGI:1919129","Acyl-CoA synthetase family"
"ACSL6","acyl-CoA synthetase long chain family member 6",23305,"ENSG00000164398","MGI:894291","Acyl-CoA synthetase family"
"ACSL6-AS1","ACSL6 antisense RNA 1",101927693,"ENSG00000223548","","Antisense RNAs"
"ACSM1","acyl-CoA synthetase medium chain family member 1",116285,"ENSG00000166743","MGI:2152200","Acyl-CoA synthetase family"
